PassengerId,Survived
213,0
59,1
440,0
44,1
526,0
516,0
184,1
160,0
715,0
635,1
436,1
775,1
359,1
411,0
91,0
19,1
322,0
17,1
548,1
147,0
22,0
622,0
821,1
421,0
567,0
478,0
84,1
709,1
656,1
205,0
562,0
644,0
280,1
589,0
198,0
119,1
232,0
397,1
34,0
520,0
301,1
148,1
876,1
747,0
357,1
877,0
655,1
172,1
557,1
642,1
348,1
735,1
105,0
120,1
210,0
20,1
884,1
787,1
122,0
300,1
752,0
248,1
434,0
662,0
431,1
307,1
789,0
438,1
836,1
881,1
433,1
779,0
856,1
10,1
738,1
585,0
190,0
791,0
220,0
465,1
420,1
18,0
784,0
212,1
93,0
137,1
463,0
523,0
727,1
358,1
144,0
553,0
859,1
279,0
485,1
725,1
525,0
86,1
27,1
670,1
550,1
366,0
1,0
596,0
763,0
406,0
343,1
74,0
243,1
139,0
117,0
598,0
237,0
824,1
740,0
487,1
442,0
76,0
792,1
816,1
617,0
187,1
814,1
678,1
264,0
297,0
304,1
569,0
517,1
559,1
197,1
827,1
206,1
228,0
522,0
847,0
483,0
664,0
99,1
262,0
157,1
332,0
230,1
612,0
13,0
578,1
613,1
497,1
577,1
123,0
272,0
162,1
255,1
131,0
668,0
90,0
745,0
646,0
768,1
338,1
422,0
840,1
594,1
428,1
721,1
611,0
374,1
765,0
164,0
865,1
720,0
161,0
393,0
509,0
339,0
681,1
7,0
849,0
697,0
12,1
71,0
671,1
823,0
621,0
531,1
265,1
45,1
511,0
283,0
425,0
403,1
482,0
368,1
231,1
515,0
155,0
327,0
85,1
874,0
719,0
524,1
2,1
189,0
551,0
650,1
633,1
684,0
287,0
318,0
724,0
866,1
277,1
855,1
149,0
762,0
33,1
556,0
444,1
146,1
799,0
449,1
286,0
63,0
